user_name,screen_distance,target_x,target_y,left_x,left_y,right_x,right_y,pupil_distance_mm
hande,30,1390,100,763,308,1142,333,60
hande,30,1820,100,783,306,1165,331,60
hande,30,100,540,798,306,1179,332,60
hande,30,530,540,730,319,1107,341,60
hande,30,960,540,757,318,1133,342,60
hande,30,1390,540,783,314,1159,342,60
hande,30,1820,540,801,314,1178,343,60
hande,30,100,980,817,312,1193,341,60
hande,30,530,980,768,322,1142,347,60
hande,30,960,980,777,319,1154,347,60
hande,30,1390,980,790,319,1166,348,60
hande,30,1820,980,802,318,1175,348,60
hande,30,100,100,804,323,1167,348,60
hande,30,530,100,773,307,1152,334,60
hande,30,960,100,780,306,1159,334,60
hande,30,1390,100,798,305,1175,334,60
hande,30,1820,100,814,304,1193,332,60
hande,30,100,540,821,305,1201,332,60
hande,30,530,540,765,317,1143,343,60
hande,30,960,540,779,313,1159,342,60
hande,30,1390,540,790,311,1170,340,60
hande,30,1820,540,804,310,1182,340,60
hande,30,100,980,813,310,1189,339,60
hande,30,530,980,765,324,1141,348,60
hande,30,960,980,773,322,1149,349,60
hande,30,1390,980,786,321,1162,349,60
hande,30,1820,980,803,321,1178,351,60
hande,30,100,100,94,294,481,330,60
hande,30,530,100,99,300,484,334,60
hande,30,960,100,128,297,512,335,60
hande,30,1390,100,156,293,541,333,60
hande,30,1820,100,159,295,541,332,60
hande,30,100,540,164,295,546,330,60
hande,30,530,540,115,306,494,338,60
hande,30,960,540,114,302,496,334,60
hande,30,1390,540,133,298,516,335,60
hande,30,1820,540,131,296,513,332,60
hande,30,100,980,136,297,519,331,60
hande,30,530,980,85,308,465,338,60
hande,30,960,980,105,305,484,338,60
hande,30,1390,980,104,303,482,337,60
hande,30,1820,980,121,301,496,334,60
hande,30,100,100,62,295,446,324,60
hande,30,530,100,34,290,420,317,60
hande,30,960,100,57,292,447,322,60
hande,30,1390,100,82,288,472,322,60
hande,30,1820,100,101,287,492,322,60
hande,30,100,540,116,288,501,322,60
hande,30,530,540,77,299,461,332,60
hande,30,960,540,80,300,468,334,60
hande,30,1390,540,89,300,474,333,60
hande,30,1820,540,97,300,481,334,60
hande,30,100,980,113,298,501,333,60
hande,30,530,980,67,311,450,342,60
hande,30,960,980,89,308,474,341,60
hande,30,1390,980,104,308,485,342,60
hande,30,1820,980,117,308,500,342,60
hande,30,100,100,72,297,458,332,60
hande,30,530,100,58,295,445,329,60
hande,30,960,100,94,292,479,329,60
hande,30,1390,100,115,288,501,328,60
hande,30,1820,100,129,287,515,326,60
hande,30,100,540,135,288,518,327,60
hande,30,530,540,66,298,450,331,60
hande,30,960,540,87,302,471,338,60
hande,30,1390,540,100,301,487,339,60
hande,30,1820,540,119,300,509,340,60
hande,30,100,980,87,307,471,346,60
hande,30,530,980,76,317,460,352,60
hande,30,960,980,90,316,474,354,60
hande,30,1390,980,102,312,488,353,60
hande,30,1820,980,112,313,494,351,60
hande,30,100,100,59,300,453,338,60
hande,30,530,100,57,299,449,336,60
hande,30,960,100,95,296,488,335,60
hande,30,1390,100,111,295,503,335,60
hande,30,1820,100,141,295,527,335,60
hande,30,100,540,158,292,543,336,60
hande,30,530,540,103,303,491,345,60
hande,30,960,540,113,301,502,345,60
hande,30,1390,540,123,302,508,345,60
hande,30,1820,540,127,302,516,345,60
hande,30,100,980,136,300,525,343,60
hande,30,530,980,93,312,478,349,60
hande,30,960,980,114,311,498,351,60
hande,30,1390,980,128,309,511,350,60
hande,30,1820,980,135,309,518,352,60
hande,30,100,100,76,294,463,335,60
hande,30,530,100,73,292,463,332,60
hande,30,960,100,96,297,485,339,60
hande,30,1390,100,104,293,496,337,60
hande,30,1820,100,119,295,513,339,60
hande,30,100,540,135,298,527,340,60
hande,30,530,540,78,311,468,349,60
hande,30,960,540,98,306,491,350,60
hande,30,1390,540,124,304,512,349,60
hande,30,1820,540,136,304,521,349,60
hande,30,100,980,142,303,534,347,60
hande,30,530,980,94,317,483,356,60
hande,30,960,980,106,316,495,357,60
hande,30,1390,980,120,312,509,357,60
hande,30,1820,980,136,311,523,355,60
hande,30,100,100,109,303,492,346,60
hande,30,530,100,84,288,480,334,60
hande,30,960,100,100,289,496,336,60
hande,30,1390,100,119,287,519,336,60
hande,30,1820,100,143,289,541,338,60
hande,30,100,540,151,290,552,339,60
hande,30,530,540,93,303,491,350,60
hande,30,960,540,114,300,513,349,60
hande,30,1390,540,122,299,521,349,60
hande,30,1820,540,141,299,540,349,60
hande,30,100,980,148,298,547,349,60
hande,30,530,980,101,312,496,356,60
hande,30,960,980,113,310,509,358,60
hande,30,1390,980,120,309,517,357,60
hande,30,1820,980,133,307,531,355,60
hande,30,100,100,95,297,492,345,60
hande,30,530,100,88,291,491,339,60
hande,30,960,100,113,288,513,340,60
hande,30,1390,100,121,287,524,340,60
hande,30,1820,100,144,287,546,339,60
hande,30,100,540,147,288,549,339,60
hande,30,530,540,95,300,495,348,60
hande,30,960,540,127,297,527,350,60
hande,30,1390,540,143,295,544,349,60
hande,30,1820,540,151,295,549,349,60
hande,30,100,980,153,295,556,349,60
hande,30,530,980,106,309,503,357,60
hande,30,960,980,122,307,517,358,60
hande,30,1390,980,152,305,544,357,60
hande,30,1820,980,163,303,557,359,60
hande,30,100,100,107,290,509,341,60
hande,30,530,100,125,288,524,340,60
hande,30,960,100,148,286,546,343,60
hande,30,1390,100,160,283,557,342,60
hande,30,1820,100,169,285,568,342,60
hande,30,100,540,186,284,583,340,60
hande,30,530,540,133,300,528,350,60
hande,30,960,540,150,298,545,352,60
hande,30,1390,540,167,295,562,352,60
hande,30,1820,540,185,294,578,351,60
hande,30,100,980,199,291,591,350,60
hande,30,530,980,144,303,538,359,60
hande,30,960,980,164,303,561,358,60
hande,30,1390,980,182,300,572,358,60
hande,30,1820,980,190,300,582,358,60
hande,30,100,100,150,312,534,363,60
hande,30,530,100,115,291,518,344,60
hande,30,960,100,146,288,551,345,60
hande,30,1390,100,159,286,565,346,60
hande,30,1820,100,174,286,580,345,60
hande,30,100,540,190,287,593,345,60
hande,30,530,540,111,304,515,356,60
hande,30,960,540,136,301,540,354,60
hande,30,1390,540,155,300,558,356,60
hande,30,1820,540,183,295,585,354,60
hande,30,100,980,190,296,592,356,60
hande,30,530,980,133,309,535,362,60
hande,30,960,980,157,312,556,370,60
hande,30,1390,980,160,309,562,365,60
hande,30,1820,980,182,305,580,363,60
hande,30,100,100,131,292,538,346,60
hande,30,530,100,124,291,535,344,60
hande,30,960,100,144,289,554,345,60
hande,30,1390,100,175,280,581,339,60
hande,30,1820,100,190,283,595,343,60
hande,30,100,540,208,283,614,341,60
hande,30,530,540,140,298,547,350,60
hande,30,960,540,166,297,570,352,60
hande,30,1390,540,183,294,587,351,60
hande,30,1820,540,196,290,602,350,60
hande,30,100,980,207,289,611,349,60
hande,30,530,980,161,303,563,358,60
hande,30,960,980,182,301,587,360,60
hande,30,1390,980,189,301,592,359,60
hande,30,1820,980,205,299,605,358,60
hande,30.0,100,100,1264,351,1665,362,401.15084444632544
hande,30.0,530,100,1257,351,1660,360,403.10048375064
hande,30.0,960,100,1267,348,1674,355,407.060192109226
hande,30.0,1390,100,1286,349,1695,358,409.0990100208017
hande,30.0,1820,100,1306,351,1714,363,408.17643244067875
hande,30.0,100,540,1328,353,1734,365,406.1773011875479
hande,30.0,530,540,1277,362,1685,374,408.17643244067875
hande,30.0,960,540,1283,364,1692,374,409.12223112414705
hande,30.0,1390,540,1301,364,1711,376,410.17557216392106
hande,30.0,1820,540,1318,366,1727,379,409.20654931220247
hande,30.0,100,980,1345,363,1755,378,410.27429848821873
hande,30.0,530,980,1294,372,1707,383,413.14646313383827
hande,30.0,960,980,1311,372,1724,385,413.2045498297423
hande,30.0,1390,980,1329,371,1738,386,409.27496869464176
hande,30.0,1820,980,1345,373,1753,388,408.2756421830722
hande,55.0,100,100,844,574,1049,576,205.00975586542216
hande,55.0,530,100,841,573,1044,575,203.0098519776811
hande,55.0,960,100,844,572,1052,575,208.02163349036562
hande,55.0,1390,100,852,573,1060,577,208.0384579831335
hande,55.0,1820,100,861,573,1071,577,210.03809178337153
hande,55.0,100,540,871,572,1080,578,209.0861066642162
hande,55.0,530,540,856,575,1064,581,208.08652046684813
hande,55.0,960,540,857,576,1065,581,208.0600874747485
hande,55.0,1390,540,867,575,1074,582,207.1183236703117
hande,55.0,1820,540,872,577,1082,583,210.08569680013915
hande,55.0,100,980,879,576,1088,583,209.11719202399405
hande,55.0,530,980,863,579,1072,585,209.0861066642162
hande,55.0,960,980,867,579,1076,585,209.0861066642162
hande,55.0,1390,980,871,579,1080,586,209.11719202399405
hande,55.0,1820,980,876,578,1085,586,209.15305400591214
